patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Ông Khoa Mai,278632001402,08/05/1954,0856924405,john10@example.net,"32 John Đường
JohnPhường, 413221",Tiểu đường,6.19,Quý cô Thành Vũ,31/01/2026
562b0f79-c374-49ee-b50b-ea63371ecd7b,Quý cô Hà Trần,188965537401,09/07/1948,0901654586,john08@example.org,"45 John Ngõ
JohnQuận, 468923",Huyết áp cao,4.74,Vũ Phạm,20/01/2026
a2bc372f-7412-4293-8729-4739614ff3d7,Khoa Hữu Hoàng,687712878125,15/11/1963,0832912706,tranjane@example.org,"9 Jane Đường
JohnThành phố, 215430",Khỏe mạnh,6.34,Lâm Hoàng,03/03/2026
654821d0-7fcd-4eb1-a7ca-d415366eb16f,Quý cô Nhật Dương,699729110155,03/12/1968,0334183306,gdang@example.com,"78 John Dãy
JaneThị xã, 795237",Khỏe mạnh,4.42,Kim Mai Mai,18/02/2026
f143262f-dc5c-4eed-8da0-365bf89897b9,Bác Châu Hoàng,988265754994,03/09/1971,0580956289,eduong@example.net,"17 Bùi Làng
JanePhường, 890501",Khỏe mạnh,10.46,Duyên Đặng,05/04/2026
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,Ánh Lê,900115992636,21/02/1968,0517260172,buijohn@example.com,"681 Nguyễn Tổ
JohnThị xã, 473125",Tim mạch,9.07,Thành Đặng,27/03/2026
1efa2197-7394-488f-847f-d9b4e64d1bcb,Cô Dương Nguyễn,681892225274,22/03/1938,0564986460,epham@example.net,"044 Vũ Đường
Quận JaneThị xã, 336952",Tim mạch,7.43,Anh Châu Bùi,06/02/2026
6e595ed3-a8b3-47fa-98d0-752b1825bc54,Bà Hồng Lê,705369233480,24/09/1942,0952916974,jane70@example.com,"86 Jane Số
JohnPhường, 267600",Tiểu đường,11.78,Ông Hưng Mai,03/01/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Tùng Bùi,188057343651,14/11/2000,0871840868,rhoang@example.org,"14 John Dãy
JohnQuận, 734047",Huyết áp cao,6.07,Yến Đặng,12/01/2026
80bacd64-7a0e-4fea-958c-a9ba0cd620c2,Tùng Bảo Trần,904065685747,25/08/1960,0803939233,johnduong@example.net,"75 Mai Dãy
Thành phố JaneHuyện, 309916",Tim mạch,11.46,Quang Đức Bùi,26/01/2026
750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,Bà An Trần,826469199701,19/12/1948,0370137262,janepham@example.net,"JaneThành phố
643 John Làng, 816131",Tiểu đường,3.53,Hà Mai,31/01/2026
